Category,Description,Name,Price,SKU,Stock,Tags
"Flame,Pokemon","Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",Moltres,178.00,2571,208 in stock,"Flame,moltres,Pressure"
"Electric,Pokemon",Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,Zapdos,133.00,7213,265 in stock,"Electric,Pressure,zapdos"
"Freeze,Pokemon","Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",Articuno,77.00,6040,101 in stock,"articuno,Freeze,Pressure"
"Pokemon,Sleeping",Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,Snorlax,134.00,9883,260 in stock,"Sleeping,snorlax,Thick Fat"
"Fossil,Pokemon",Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Aerodactyl,56.00,1801,257 in stock,"aerodactyl,Fossil,Rock Head"
"Pokemon,Shellfish",Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,Kabutops,57.00,4736,228 in stock,"kabutops,Shellfish,Swift Swim"
"Pokemon,Shellfish","Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",Kabuto,79.00,9584,187 in stock,"kabuto,Shellfish,Swift Swim"
"Pokemon,Spiral","Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",Omastar,61.00,3283,249 in stock,"omastar,Shell Armor,Spiral"
"Pokemon,Vine","Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",Tangela,64.00,3530,91 in stock,"Chlorophyll,tangela,Vine"
"Pokemon,Superpower",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,Machop,166.00,9506,173 in stock,"Guts,machop,Superpower"
"Mole,Pokemon","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",Diglett,122.00,4383,227 in stock,"diglett,Mole,Sand Veil"
"Pokemon,River Crab","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",Krabby,64.00,2333,147 in stock,"krabby,River Crab,Shell Armor"
"Atrocious,Pokemon","Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",Gyarados,79.00,9629,100 in stock,"Atrocious,gyarados,Intimidate"
"Long Body,Pokemon","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",Furret,154.00,4876,85 in stock,"furret,Keen Eye,Long Body"
"Pokemon,Tiny Bird","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",Pidgey,159.00,9452,175 in stock,"Keen Eye,pidgey,Tiny Bird"
"Poison Bee,Pokemon","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",Beedrill,168.00,6542,125 in stock,"beedrill,Poison Bee,Swarm"
"Cocoon,Pokemon","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",Kakuna,148.00,1049,260 in stock,"Cocoon,kakuna,Shed Skin"
"Hairy Bug,Pokemon",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,Weedle,25.00,7525,65 in stock,"Hairy Bug,Shield Dust,weedle"
